,0,1,2
0,abacavir,amprenavir,1
1,abacavir,asparaginase erwinia chrysanthemi,2
2,abacavir,asparaginase escherichia coli,2
3,abacavir,bedaquiline,2
4,abacavir,black cohosh,2
5,abacavir,brentuximab,2
6,abacavir,cabozantinib,2
7,abacavir,calaspargase pegol,2
8,abacavir,cannabidiol,2
9,abacavir,chloral hydrate,1
10,abacavir,chlorpromazine,1
11,abacavir,chlorzoxazone,1
12,abacavir,cladribine,2
13,abacavir,clofarabine,2
14,abacavir,cobicistat,2
15,abacavir,daclizumab,2
16,abacavir,disulfiram,1
17,abacavir,efavirenz,2
18,abacavir,epirubicin,2
19,abacavir,ethanol,1
20,abacavir,idelalisib,2
21,abacavir,interferon beta-1a,2
22,abacavir,interferon beta-1b,2
23,abacavir,isoniazid,1
24,abacavir,leflunomide,3
25,abacavir,lomitapide,3
26,abacavir,methadone,2
27,abacavir,methotrexate,2
28,abacavir,mipomersen,3
29,abacavir,naltrexone,2
30,abacavir,orlistat,2
31,abacavir,pegaspargase,2
32,abacavir,peginterferon beta-1a,2
33,abacavir,pexidartinib,3
34,abacavir,remdesivir,2
35,abacavir,ribavirin,2
36,abacavir,teriflunomide,3
37,abacavir,thioguanine,2
38,abacavir,tipranavir,2
39,abacavir,trabectedin,2
40,tipranavir,amprenavir,3
41,tipranavir,asparaginase erwinia chrysanthemi,2
42,tipranavir,asparaginase escherichia coli,2
43,tipranavir,bedaquiline,2
44,tipranavir,black cohosh,2
45,tipranavir,brentuximab,2
46,tipranavir,cabozantinib,3
47,tipranavir,calaspargase pegol,2
48,tipranavir,cannabidiol,2
49,tipranavir,clofarabine,2
50,tipranavir,cobicistat,2
51,tipranavir,daclizumab,2
52,tipranavir,disulfiram,3
53,tipranavir,efavirenz,2
54,tipranavir,epirubicin,2
55,tipranavir,idelalisib,2
56,tipranavir,interferon beta-1a,2
57,tipranavir,interferon beta-1b,2
58,tipranavir,leflunomide,3
59,tipranavir,lomitapide,3
60,tipranavir,methotrexate,2
61,tipranavir,mipomersen,3
62,tipranavir,naltrexone,2
63,tipranavir,orlistat,2
64,tipranavir,pegaspargase,2
65,tipranavir,peginterferon beta-1a,2
66,tipranavir,pexidartinib,3
67,tipranavir,remdesivir,2
68,tipranavir,teriflunomide,3
69,tipranavir,thioguanine,2
