,0,1,2
0,warfarin,abametapir topical,2
1,warfarin,abciximab,3
2,warfarin,acalabrutinib,3
3,warfarin,acarbose,1
4,warfarin,acetaminophen,2
5,warfarin,adalimumab,2
6,warfarin,ado-trastuzumab emtansine,3
7,warfarin,albiglutide,1
8,warfarin,alefacept,2
9,warfarin,allopurinol,2
10,warfarin,alpelisib,2
11,warfarin,alteplase,3
12,warfarin,aminoglutethimide,2
13,warfarin,amiodarone,3
14,warfarin,amitriptyline,2
15,warfarin,amobarbital,3
16,warfarin,amoxapine,2
17,warfarin,amoxicillin,2
18,warfarin,ampicillin,2
19,warfarin,amprenavir,2
20,warfarin,anakinra,2
21,warfarin,anistreplase,3
22,warfarin,apalutamide,2
23,warfarin,apixaban,3
24,warfarin,aprepitant,2
25,warfarin,ardeparin,3
26,warfarin,argatroban,3
27,warfarin,armodafinil,2
28,warfarin,ascorbic acid,1
29,warfarin,asparaginase erwinia chrysanthemi,2
30,warfarin,asparaginase escherichia coli,2
31,warfarin,aspirin,3
32,warfarin,atazanavir,2
33,warfarin,atorvastatin,1
34,warfarin,azathioprine,2
35,warfarin,azithromycin,2
36,warfarin,aztreonam,2
37,warfarin,bacampicillin,2
38,warfarin,balsalazide,2
39,warfarin,benazepril,1
40,warfarin,bendroflumethiazide,1
41,warfarin,benzthiazide,1
42,warfarin,betamethasone,2
43,warfarin,betrixaban,3
44,warfarin,bicalutamide,1
45,warfarin,bioflavonoids,2
46,warfarin,bismuth subsalicylate,2
47,warfarin,bivalirudin,3
48,warfarin,blinatumomab,2
49,warfarin,boceprevir,2
50,warfarin,bortezomib,1
51,warfarin,bosentan,2
52,warfarin,brivaracetam,1
53,warfarin,bromfenac,3
54,warfarin,bromfenac ophthalmic,2
55,warfarin,budesonide,2
56,warfarin,bupropion,2
57,warfarin,butabarbital,3
58,warfarin,butalbital,3
59,warfarin,cabozantinib,3
60,warfarin,calaspargase pegol,2
61,warfarin,canakinumab,2
62,warfarin,cangrelor,3
63,warfarin,cannabidiol,2
64,warfarin,cannabis,2
65,warfarin,capecitabine,3
66,warfarin,caplacizumab,3
67,warfarin,capmatinib,2
68,warfarin,capsicum,1
69,warfarin,carbamazepine,2
70,warfarin,carbenicillin,2
71,warfarin,carboplatin,2
72,warfarin,cefaclor,2
73,warfarin,cefadroxil,2
74,warfarin,cefamandole,2
75,warfarin,cefazolin,2
76,warfarin,cefdinir,2
77,warfarin,cefditoren,2
78,warfarin,cefepime,2
79,warfarin,cefiderocol,2
80,warfarin,cefixime,2
81,warfarin,cefmetazole,2
82,warfarin,cefonicid,2
83,warfarin,cefoperazone,2
84,warfarin,cefotaxime,2
85,warfarin,cefotetan,2
86,warfarin,cefoxitin,2
87,warfarin,cefpodoxime,2
88,warfarin,cefprozil,2
89,warfarin,ceftaroline,2
90,warfarin,ceftazidime,2
91,warfarin,ceftibuten,2
92,warfarin,ceftizoxime,2
93,warfarin,ceftriaxone,2
94,warfarin,cefuroxime,2
95,warfarin,celecoxib,2
96,warfarin,cephalexin,2
97,warfarin,cephalothin,2
98,warfarin,cephapirin,2
99,warfarin,cephradine,2
100,warfarin,ceritinib,2
101,warfarin,certolizumab,2
102,warfarin,chamomile,1
103,warfarin,charcoal,2
104,warfarin,chenodeoxycholic acid,2
105,warfarin,chloral hydrate,2
106,warfarin,chloramphenicol,2
107,warfarin,chlordiazepoxide,1
108,warfarin,chlorothiazide,1
109,warfarin,chlorotrianisene,2
110,warfarin,chlorpropamide,2
111,warfarin,chlorthalidone,1
112,warfarin,cholestyramine,2
113,warfarin,choline salicylate,2
